name,common_name,type,type_fr,ra_h,dec_deg,size_w_arcmin,size_h_arcmin,mag,filter,messier
M52,,OCl,amas ouvert,23.4134,61.5932,9.90,9.90,6.9,sans,52
NGC7662,Copeland's Blue Snowball,PN,nebuleuse planetaire,23.4316,42.5349,0.28,0.28,8.3,LP,
IC5325,,G,galaxie,23.4787,-41.3335,2.88,2.62,11.28,sans,
NGC7686,,OCl,amas ouvert,23.5021,49.1341,3.60,3.60,5.6,sans,
IC5328,,G,galaxie,23.5546,-45.016,2.99,1.75,11.37,sans,
NGC7689,,G,galaxie,23.5546,-54.0945,3.10,1.97,10.84,sans,
IC5332,,G,galaxie,23.5743,-36.1011,6.07,5.77,10.03,sans,
NGC7713,,G,galaxie,23.6042,-37.9381,4.91,2.13,11.18,sans,
NGC7721,,G,galaxie,23.6468,-6.5179,3.08,0.77,11.68,sans,
NGC7723,,G,galaxie,23.6492,-12.9611,3.29,2.32,11.21,sans,
NGC7727,,G,galaxie,23.6649,-12.2928,3.61,2.75,10.64,sans,
NGC7741,,G,galaxie,23.7318,26.0756,3.63,2.38,11.27,sans,
NGC7742,,G,galaxie,23.7377,10.7671,1.71,1.64,11.58,sans,
NGC7744,,G,galaxie,23.7498,-42.9109,2.48,2.11,11.85,sans,
NGC7755,,G,galaxie,23.7977,-30.522,3.70,2.27,11.68,sans,
NGC7769,,G,galaxie,23.8511,20.1504,1.75,0.67,11.79,sans,
NGC7785,,G,galaxie,23.922,5.9158,1.95,1.09,11.6,sans,
NGC7788,,OCl,amas ouvert,23.946,61.3999,2.40,2.40,9.4,sans,
NGC7789,,OCl,amas ouvert,23.9567,56.7083,14.40,14.40,6.7,sans,
NGC7793,,G,galaxie,23.9638,-32.591,10.42,6.05,9.29,sans,
NGC7790,,OCl,amas ouvert,23.9734,61.2083,3.60,3.60,8.5,sans,
NGC7796,,G,galaxie,23.9833,-55.4583,2.73,2.38,11.47,sans,
